long;lat;year;c4_biomass;c3_biomass;dead_grass_biomass;savanna_tree_cover;forest_tree_cover;tree_leaf_biomass;tree_stem_biomass;trees_per_ha
31.25;-25.25;1980;0.83788;0.51278;0.319197;8.73000000000054e-05;-0.00484300000000004;0;0;-169
32.25;-24.25;1980;1.68616;0.21725;0.745148;-3.67000000000006e-05;0.000665000000000027;0;0.0226000000000042;-19
31.25;-24.25;1980;0.66741;0.51452;0.274427;-4.69999999999984e-05;4.70000000000192e-05;0;0.00909999999999656;872
31.25;-22.75;1980;-0.62915;-0.27451;0.07112;-0.000135099999999999;0.000134999999999996;0;0.2014;150
31.75;-25.25;1980;-1.722308;-1.016238;-0.336384;-8.11000000000006e-05;8.09999999999977e-05;0;0.6372;-417
31.25;-23.75;1980;-1.16019;-0.45998;-0.088812;-0.000199000000000001;0.000198999999999949;0;0.9876;248
30.75;-25.25;1980;0.75049;0.51114;0.288275;-1.89100000000005e-05;0.00231899999999996;0;0.248900000000001;178
30.75;-23.75;1980;-1.04077;-0.47815;-0.178476;-8.0700000000003e-05;8.09999999999977e-05;0;0.0730999999999966;764
30.75;-24.75;1980;0.12364;0.19704;-0.036137;-3.43799999999988e-05;0.00137399999999999;0;0;311
31.25;-24.75;1980;0.48364;0.1747;0.270952;-2.91000000000007e-05;-0.000439000000000078;0.0577700000000001;0.00450000000000017;812
32.25;-23.25;1980;-0.23052;0.07806;0.100047;-6.93000000000013e-05;0.00575100000000006;0;0.278599999999997;576
32.25;-22.75;1980;-2.01707;-0.60286;-0.129995;-3.70999999999982e-05;3.69999999999537e-05;0;0;618
31.25;-22.25;1980;-0.87788;-0.41065;-0.087603;-7.26000000000025e-05;0.00124099999999994;0;0.172600000000003;845
32.25;-21.75;1980;0.6145;0.326365;0.142961;-0.000181199999999999;0.000180999999999987;0;0;486
30.75;-22.75;1980;-0.97203;-0.42191;-0.121644;6.61999999999954e-05;-6.59999999998995e-05;0;0;1
31.75;-24.75;1980;-1.502548;-0.919455;-0.270858;-0.000290800000000001;0.00107799999999991;0.03464;0.799900000000001;14
31.25;-21.75;1980;-0.49127;-0.376024;-0.020954;-0.000140599999999998;0.000141000000000058;0;0;674
31.75;-23.25;1980;0.0634699999999999;-0.241743;0.162964;4.53999999999975e-05;0.00315699999999997;0;0;953
31.75;-24.25;1980;1.52867;0.90052;0.517059;-0.0001279;0.000128000000000017;0;0.0840999999999994;46
30.75;-24.25;1980;-0.7423;-0.40118;-0.096448;-0.000174000000000001;0.000174000000000007;0;0.658899999999996;578
32.25;-23.75;1980;-0.0638800000000002;0.12719;0.145198;-5.72999999999997e-05;0.00395699999999999;0;0.206699999999998;452
30.75;-21.75;1980;0.0607500000000001;0.0165300000000002;0.078901;-0.000464800000000001;-0.000883000000000078;0;0;377
30.75;-23.25;1980;-0.33986;-0.15038;-0.057023;-0.000230899999999999;0.000230999999999981;0;0;90
32.25;-24.75;1980;-1.397705;-0.823725;-0.238023;-0.0003061;0.000286000000000008;0.12398;0;270
30.75;-22.25;1980;-1.05092;-0.56956;-0.09886;5.9500000000004e-05;-5.90000000000312e-05;0;0;447
31.75;-22.25;1980;-1.17943;-0.775774;-0.12835;-0.0001115;0.000110999999999972;0;0;612
31.25;-23.25;1980;-0.53042;-0.39664;0.023313;-7.82000000000005e-05;7.79999999999115e-05;0;0;458
31.75;-23.75;1980;-0.7207;-0.28428;-0.01107;-9.08999999999979e-05;0.00156400000000001;0;0.277199999999997;251
32.25;-25.25;1980;-0.80689;-0.37245;-0.00545900000000005;-5.5999999999997e-06;6.00000000006151e-06;0.10103;1.50519999999999;-239
31.75;-21.75;1980;0.734187;0.385158;-0.084165;-9.75000000000004e-05;9.79999999999315e-05;0;0;-63
32.25;-22.25;1980;-0.00510999999999995;0.377735;0.02043;-0.0001473;0.000147000000000008;0;0.0768999999999949;93
31.75;-22.75;1980;-0.3094;-0.07064;0.108213;-4.81000000000023e-05;0.00363899999999995;0;0.0121000000000002;662
31.25;-25.25;1981;-1.48313;-0.87439;-0.425746;-0.0001069;-0.00646999999999998;0;-0.3155;-278
